"","HH1","HH2","HH6","HH7","SL1","stratum","HC1A","HC1C","HC11","HHSEX","helevel","hhweight","windex5r","PSU","UN13AA","UN13AB","UN13AC","UN13AD","UN13AE","UN13AF","UN13AG","WAGE","WM7","MSTATUS","welevel","wmweight","CM5B","Ethnicity","SL1_group"
"1",1,1,"Rural","Eastern Mountain",4,1,"OTHER","Rai","Yes","Male","Secondary",0.249991636454378,"Poorest",1,0,0,0,0,0,0,0,"40-44","Completed","Ever Married","None",0.239359574962848,3,"Janajati","4 or more"
"2",1,1,"Rural","Eastern Mountain",4,1,"OTHER","Rai","Yes","Male","Secondary",0.249991636454378,"Poorest",1,0,0,0,0,0,0,0,"20-24","Completed","Never Married","Higher",0.239359574962848,NA,"Janajati","4 or more"
"3",1,1,"Rural","Eastern Mountain",4,1,"OTHER","Rai","Yes","Male","Secondary",0.249991636454378,"Poorest",1,0,0,0,0,0,0,0,"15-19","Completed","Never Married","Secondary",0.239359574962848,NA,"Janajati","4 or more"
"4",1,10,"Rural","Eastern Mountain",2,1,"Hindu","Rai","Yes","Female","Primary",0.249991636454378,"Second",1,0,0,0,0,0,0,1,"35-39","Completed","Ever Married","Primary",0.239359574962848,1,"Janajati","2"
"5",1,10,"Rural","Eastern Mountain",2,1,"Hindu","Rai","Yes","Female","Primary",0.249991636454378,"Second",1,0,0,0,0,0,0,1,"15-19","Completed","Never Married","Secondary",0.239359574962848,NA,"Janajati","2"
"6",1,11,"Rural","Eastern Mountain",1,1,"Kirat","Rai","Yes","Male","Primary",0.249991636454378,"Poorest",1,0,0,0,0,0,0,0,"40-44","Completed","Ever Married","Primary",0.239359574962848,0,"Janajati","1"
"7",1,12,"Rural","Eastern Mountain",4,1,"Kirat","Rai","Yes","Male","Primary",0.249991636454378,"Second",1,0,0,0,0,0,0,0,"35-39","Completed","Ever Married","None",0.239359574962848,3,"Janajati","4 or more"
"8",1,12,"Rural","Eastern Mountain",4,1,"Kirat","Rai","Yes","Male","Primary",0.249991636454378,"Second",1,0,0,0,0,0,0,0,"15-19","Completed","Never Married","Secondary",0.239359574962848,NA,"Janajati","4 or more"
"9",1,13,"Rural","Eastern Mountain",0,1,"Hindu","Rai","Yes","Female","Secondary",0.249991636454378,"Poorest",1,0,0,0,0,0,0,1,"45-49","Completed","Ever Married","Secondary",0.239359574962848,NA,"Janajati","0"
"10",1,14,"Rural","Eastern Mountain",5,1,"Hindu","Kami","Yes","Male","None",0.249991636454378,"Poorest",1,0,0,0,0,0,0,0,"30-34","Completed","Ever Married","None",0.239359574962848,3,"Dalits","4 or more"
"11",1,15,"Rural","Eastern Mountain",3,1,"Hindu","Rai","Yes","Female","Primary",0.249991636454378,"Second",1,0,0,0,0,0,0,0,"30-34","Completed","Ever Married","Primary",0.239359574962848,2,"Janajati","3"
"12",1,16,"Rural","Eastern Mountain",0,1,"Kirat","Limbu","Yes","Male","None",0.249991636454378,"Poorest",1,0,0,0,0,0,0,0,"25-29","Completed","Never Married","None",0.239359574962848,NA,"Janajati","0"
"13",1,17,"Rural","Eastern Mountain",3,1,"Kirat","Rai","Yes","Male","None",0.249991636454378,"Poorest",1,0,0,0,0,0,0,0,"40-44","Completed","Ever Married","None",0.239359574962848,1,"Janajati","3"
"14",1,17,"Rural","Eastern Mountain",3,1,"Kirat","Rai","Yes","Male","None",0.249991636454378,"Poorest",1,0,0,0,0,0,0,0,"15-19","Completed","Ever Married","Primary",0.239359574962848,0,"Janajati","3"
